Citizen Name,Issue,Image Description,Location,"GeoTag (Lat,Long)",Date,Time,Severity Level,Status,Department
Deepak Kumar,Potholes,Photo showing potholes in locality,Dhanbad,"23.72757, 85.39257",26-08-2025,09:04,Medium,In Progress,Electricity Board
Vikash Sahu,Potholes,Photo showing potholes in locality,Dhanbad,"23.80509, 86.46888",29-08-2025,13:26,High,Resolved,Transport Dept
Amit Kumar,Potholes,Photo showing potholes in locality,Bokaro,"23.30953, 85.46161",10-09-2025,17:10,Medium,Reported,Water Dept
Neha Verma,Potholes,Photo showing potholes in locality,Bokaro,"23.42993, 85.52507",07-09-2025,03:35,Low,Reported,Water Dept
Anil Singh,Potholes,Photo showing potholes in locality,Giridih,"23.43344, 85.70351",09-09-2025,06:38,Low,In Progress,Transport Dept
Vikash Sahu,Potholes,Photo showing potholes in locality,Hazaribagh,"24.29211, 86.85266",26-08-2025,03:00,Medium,In Progress,Transport Dept
Rajesh Gupta,Potholes,Photo showing potholes in locality,Giridih,"23.57855, 86.76255",22-09-2025,05:12,Medium,In Progress,PWD
Deepak Kumar,Potholes,Photo showing potholes in locality,Bokaro,"23.61762, 86.17467",15-09-2025,10:03,Low,Reported,PWD
Amit Kumar,Potholes,Photo showing potholes in locality,Giridih,"24.40921, 86.62135",27-08-2025,12:27,Medium,In Progress,Transport Dept
Deepak Kumar,Potholes,Photo showing potholes in locality,Ranchi,"23.30578, 86.15191",20-09-2025,04:57,Low,In Progress,Transport Dept
Arjun Prasad,Streetlights,Photo showing streetlights in locality,Ramgarh,"24.24813, 85.48227",01-09-2025,05:09,Medium,Reported,Water Dept
Deepak Kumar,Streetlights,Photo showing streetlights in locality,Ramgarh,"23.64867, 86.82188",10-09-2025,20:07,Medium,Resolved,Electricity Board
Sunita Kumari,Streetlights,Photo showing streetlights in locality,Bokaro,"23.78023, 85.92943",19-09-2025,11:10,High,Reported,Electricity Board
Manoj Yadav,Streetlights,Photo showing streetlights in locality,Ramgarh,"23.77654, 85.52702",21-09-2025,01:31,High,In Progress,PWD
Amit Kumar,Streetlights,Photo showing streetlights in locality,Bokaro,"24.48138, 85.53784",03-09-2025,22:35,Low,In Progress,Transport Dept
Suresh Das,Streetlights,Photo showing streetlights in locality,Giridih,"23.86832, 86.17084",07-09-2025,13:30,Medium,Resolved,Electricity Board
Pooja Sharma,Streetlights,Photo showing streetlights in locality,Deoghar,"24.28351, 85.53218",15-09-2025,16:55,Medium,Resolved,PWD
